filename,method,nr_fuzzy_free,nr_fuzzy_mono
14.png,hist_eq,55.8839612111694,49.640542524143186
140.png,clahe,39.199849436051004,34.12582509008317
140.png,gamma,39.199849436051004,34.12582509008317
140.png,log,38.089676545605826,32.58407363622055
140.png,retinex,18.57758684892815,18.530805839564213
140.png,hist_eq,54.22030024455378,42.95605574860609
141.png,clahe,39.199849436051004,34.12582509008317
141.png,gamma,39.199849436051004,34.12582509008317
141.png,log,39.199849436051004,34.12582509008317
141.png,retinex,29.378317040898917,25.667001612090864
141.png,hist_eq,21.128413707637662,32.20279371370559
142.png,clahe,39.199849436051004,34.12582509008317
142.png,gamma,39.199849436051004,34.12582509008317
142.png,log,27.024368891788377,22.173249343855932
142.png,retinex,21.21860632053438,19.65709791284077
142.png,hist_eq,24.706486622461103,32.71427569644306
143.png,clahe,39.199849436051004,34.12582509008317
143.png,gamma,39.199849436051004,34.12582509008317
143.png,log,64.37492913140919,61.41319252905608
143.png,retinex,3.2003215791638526,27.75140790943326
143.png,hist_eq,54.22030024455378,42.95605574860609
144.png,clahe,39.199849436051004,34.12582509008317
144.png,gamma,39.199849436051004,34.12582509008317
144.png,log,48.73862686793305,43.4345651585328
144.png,retinex,21.74099797396195,25.164657588853004
144.png,hist_eq,54.22030024455378,42.95605574860609
145.png,clahe,64.37659399283103,61.41301627454815
145.png,gamma,60.8925514424064,59.36523046833975
145.png,log,70.1087283083976,65.45935071390768
145.png,retinex,21.763974925346357,20.636097677839075
145.png,hist_eq,57.823988316521515,57.43545133677874
147.png,clahe,48.30386238843867,53.35286477696451
147.png,gamma,62.776743265340144,64.42626246000079
147.png,log,66.16527876731263,63.55386649869842
147.png,retinex,2.6447491753052317,29.91793896624142
147.png,hist_eq,59.39238006618688,63.73715229621584
149.png,clahe,39.199849436051004,34.12582509008317
149.png,gamma,39.199849436051004,34.12582509008317
149.png,log,59.58165346175674,57.66539294721459
149.png,retinex,14.477641972735249,32.60394311858412
149.png,hist_eq,24.661017800651738,36.7585095959146
15.png,clahe,39.199849436051004,34.12582509008317
15.png,gamma,39.199849436051004,34.12582509008317
15.png,log,77.80042807402079,61.380590383866235
15.png,retinex,16.411341417094707,22.243824986259714
15.png,hist_eq,54.22030024455378,42.95605574860609
150.png,clahe,41.59979753441041,44.03995742907873
150.png,gamma,60.290278337724686,62.83507577454423
150.png,log,64.474019017817,62.17341712539231
150.png,retinex,13.233224489737022,34.36250162101791
150.png,hist_eq,56.883082337509485,53.6549493595493
151.png,clahe,43.23309602278754,42.05205058967618
151.png,gamma,52.391814856744915,54.111974075129595
151.png,log,73.18143327263789,70.01840304733172
151.png,retinex,40.64921960085929,27.94349865763431
151.png,hist_eq,58.48998024302396,60.11136566947862
152.png,clahe,45.62265480592701,45.00924505214837
152.png,gamma,53.06796034433995,54.323334965365426
152.png,log,62.75757226797769,64.46240566269417
152.png,retinex,27.56658148974995,22.364262396598082
152.png,hist_eq,59.11964937009073,62.64133724259558
154.png,clahe,39.199849436051004,34.12582509008317
154.png,gamma,39.199849436051004,34.12582509008317
154.png,log,64.37492913140919,61.41319252905608
154.png,retinex,41.61157571885527,37.585884966622764
154.png,hist_eq,13.080527854096664,34.3304864850437
157.png,clahe,64.37492913140919,61.41319252905608
157.png,gamma,63.02176903570321,63.96431382394921
157.png,log,74.8576289673284,69.35805139543842
157.png,retinex,13.867792497565732,18.522181133322373
157.png,hist_eq,58.39712715057967,59.738287692074216
159.png,clahe,39.199849436051004,34.12582509008317
159.png,gamma,39.75712074980059,34.888930916840074
159.png,log,64.37492913140919,61.41319252905608
159.png,retinex,4.81645699250186,21.449065423222763
159.png,hist_eq,47.79328153602257,39.88520618789256
16.png,clahe,39.199849436051004,34.12582509008317
16.png,gamma,39.199849436051004,34.12582509008317
16.png,log,81.12281453300824,65.26628972640972
16.png,retinex,16.566714843058772,22.288172503924578
16.png,hist_eq,54.22030024455378,42.95605574860609
160.png,clahe,39.199849436051004,34.12582509008317
160.png,gamma,39.62688228234484,34.710587386621974
160.png,log,40.38224165595541,39.010261112988985
160.png,retinex,4.814687933775012,21.455964111218094
160.png,hist_eq,48.24566378291856,40.1247898443863
162.png,clahe,52.80145965832723,54.53400224183126
162.png,gamma,60.90410001558676,62.27218647753669
162.png,log,62.75757226797769,64.46240566269417
162.png,retinex,7.464428096364395,19.638140912549005
162.png,hist_eq,60.02538657536788,66.28053326406838
167.png,clahe,67.11213662858003,62.04927614257614
167.png,gamma,64.5884290969648,61.19034934161884
167.png,log,85.99199213752563,69.00183031021693
167.png,retinex,19.8413031502941,15.121688869243068
167.png,hist_eq,61.00031406752054,63.23674017391907
169.png,clahe,63.57836752273156,60.61057569835846
169.png,gamma,58.37101653691244,59.27888133070158
169.png,log,79.90137817524602,66.47104302622981
169.png,retinex,19.8413031502941,15.121688869243068
169.png,hist_eq,60.2702435140836,67.26435328604879
17.png,clahe,64.37492913140919,61.41319252905608
17.png,gamma,69.3374028200321,64.64349380140116
17.png,log,79.24847018199159,69.11934920605813
17.png,retinex,4.7259183453765665,21.802133339260333
17.png,hist_eq,57.92339931548281,57.83487857660362
171.png,clahe,39.199849436051004,34.12582509008317
171.png,gamma,41.17316765997264,36.82801089718692
171.png,log,83.47555079637374,65.85187409108156
171.png,retinex,21.659661693958594,20.738344489619532
171.png,hist_eq,54.22030024455378,42.95605574860609
172.png,clahe,39.199849436051004,34.12582509008317
172.png,gamma,39.199849436051004,34.12582509008317
172.png,log,28.108876818768003,20.958771283702585
172.png,retinex,4.872411320543566,25.013963031274084
172.png,hist_eq,20.53978985687207,35.89443245074678
173.png,clahe,46.10207263145618,43.577463112773835
173.png,gamma,50.22135014298043,50.165758133271346
173.png,log,74.02249827296278,65.41649642170387
173.png,retinex,23.47498401732789,21.766585675588548
173.png,hist_eq,58.510981458028155,60.19574725129291
174.png,clahe,40.99668714065929,36.58634528606661
174.png,gamma,45.95539880665068,43.37661363859455
174.png,log,83.68286546802035,66.84835778712257
174.png,retinex,29.4292214181113,24.220204362804868
174.png,hist_eq,56.262944482872676,51.163273849025934
175.png,clahe,39.199849436051004,34.12582509008317
175.png,gamma,39.199849436051004,34.12582509008317
175.png,log,39.199849436051004,34.12582509008317
175.png,retinex,17.704051748176735,24.69421622971091
175.png,hist_eq,20.38529390361843,35.862040060893925
176.png,clahe,39.199849436051004,34.12582509008317
176.png,gamma,39.199849436051004,34.12582509008317
176.png,log,67.2846557857856,62.08936685876414
176.png,retinex,19.971927851243777,21.156083557118674
176.png,hist_eq,54.22030024455378,42.95605574860609
18.png,clahe,64.37492913140919,61.41319252905608
18.png,gamma,69.25646927450066,64.60394878036361
18.png,log,77.99082237934408,68.21075386223546
18.png,retinex,4.739698096670426,21.74839730247036
18.png,hist_eq,57.841391409659884,57.50537588767656
180.png,clahe,39.199849436051004,34.12582509008317
180.png,gamma,39.199849436051004,34.12582509008317
180.png,log,37.749231792208484,36.92900522209965
180.png,retinex,29.59479400633923,27.376441166774832
180.png,hist_eq,29.046129977741987,32.7933484495876
183.png,clahe,39.199849436051004,34.12582509008317
183.png,gamma,39.199849436051004,34.12582509008317
183.png,log,35.56845680390708,32.31878441175421
183.png,retinex,28.826306585152405,30.094531747551883
183.png,hist_eq,23.771752557319658,32.524826057614796
184.png,clahe,39.34736105587976,34.735192318283474
184.png,gamma,49.7442586919748,50.84707797149972
184.png,log,52.920410823682296,57.974201465954394
184.png,retinex,3.600974028914725,26.189008536565154
184.png,hist_eq,54.22030024455378,42.95605574860609
185.png,clahe,39.75196984492881,36.406622247495335
185.png,gamma,51.5763724043378,52.69122589169624
185.png,log,54.04791969252876,58.71786190256878
185.png,retinex,3.491686619339144,26.615189832322717
185.png,hist_eq,54.22030024455378,42.95605574860609
186.png,clahe,62.92451762653316,64.14766252132758
186.png,gamma,62.75757226797769,64.46240566269417
186.png,log,62.75757226797769,64.46240566269417
186.png,retinex,16.976933346194524,22.414141070627707
186.png,hist_eq,60.46111882630234,68.03127847447718
187.png,clahe,62.8982943397554,64.19710144990158
187.png,gamma,62.75757226797769,64.46240566269417
187.png,log,62.75757226797769,64.46240566269417
187.png,retinex,17.024657671013017,22.359422614571017
187.png,hist_eq,60.59237036191438,68.558639019488
188.png,clahe,39.199849436051004,34.12582509008317
188.png,gamma,45.08256393596961,42.18138725751326
188.png,log,79.31234693980504,65.48536220399676
188.png,retinex,19.765848283002278,22.408167724615243
188.png,hist_eq,59.52096155152458,64.25378474451277
189.png,clahe,52.4306593893953,52.921939078401806
189.png,gamma,59.21030684616678,60.270657568449025
189.png,log,77.40440903660594,73.64111009102278
189.png,retinex,25.550885034903676,20.06910045575463
189.png,hist_eq,63.85607174179976,81.67198912562573
191.png,clahe,50.193554902083264,46.388411016138875
191.png,gamma,56.7306171821419,57.16387178270283
191.png,log,83.43028823723733,67.52519251678753
191.png,retinex,11.60011299620278,21.254088358103136
191.png,hist_eq,57.454177402633626,55.94957397778673
193.png,clahe,71.28181448028037,63.01824314922998
193.png,gamma,64.37492913140919,61.41319252905608
193.png,log,70.78240475701476,69.95362698852848
193.png,retinex,39.199849436051004,34.12582509008317
193.png,hist_eq,55.80059616815677,49.305586942001
194.png,clahe,46.60244613805569,43.08436412366241
194.png,gamma,52.40152490327291,52.011452888848204
194.png,log,68.06627992560121,65.64451635042106
194.png,retinex,12.10597310162921,18.41007371553075
194.png,hist_eq,54.22030024455378,42.95605574860609
195.png,clahe,39.199849436051004,34.12582509008317
195.png,gamma,39.199849436051004,34.12582509008317
195.png,log,64.37492913140919,61.41319252905608
195.png,retinex,3.187034327142862,27.803223377521988
195.png,hist_eq,40.67088246346326,40.11521743665544
196.png,clahe,39.199849436051004,34.12582509008317
196.png,gamma,39.199849436051004,34.12582509008317
196.png,log,71.09456425114284,62.974729165542094
196.png,retinex,17.77706735414215,13.329333126412768
196.png,hist_eq,54.43161074119522,43.80508824301228
198.png,clahe,48.470125876571224,46.82018382139783
198.png,gamma,45.0130463473595,42.81213332006908
198.png,log,78.71291565626724,78.34242487307739
198.png,retinex,67.22927611532891,61.1110103074405
198.png,hist_eq,61.50439645260986,72.2231033932604
199.png,clahe,39.199849436051004,34.12582509008317
199.png,gamma,44.85072673624691,43.23731944210079
199.png,log,70.09929134261172,66.45945244063198
199.png,retinex,4.083683063524463,24.306618216922843
199.png,hist_eq,54.97584207503769,45.991776051949394
2.png,clahe,68.81326630929502,63.39698243739183
2.png,gamma,63.93025024886002,63.51290473566987
2.png,log,71.13660489081299,72.62866651122381
2.png,retinex,45.58390638211637,36.08901385984404
2.png,hist_eq,59.620931524123044,64.65545790580879
200.png,clahe,39.199849436051004,34.12582509008317
200.png,gamma,39.199849436051004,34.12582509008317
200.png,log,51.19670524705213,50.03880349795704
200.png,retinex,10.032483817115919,33.69141841461693
200.png,hist_eq,32.14495226464023,38.32762851252942
201.png,clahe,73.28628568898719,66.16976587512416
201.png,gamma,67.56377262980023,66.4057929314804
201.png,log,78.70037875166408,70.97516711547983
201.png,retinex,28.27033087471265,23.0544219660228
201.png,hist_eq,63.5263629573147,80.3472396400666
202.png,clahe,63.56241276638103,62.94503477584583
202.png,gamma,69.38417180190785,65.94044774640169
202.png,log,76.37109520291625,68.91794550107092
202.png,retinex,6.067241160775185,23.258463082066317
202.png,hist_eq,60.43796301864977,67.93823987278094
203.png,clahe,39.199849436051004,34.12582509008317
203.png,gamma,42.41243820927122,38.91874401473211
203.png,log,41.56568957933761,43.89905822353528
203.png,retinex,24.99782919189137,32.00715391412466
203.png,hist_eq,47.84896019557376,41.62020890986825
204.png,clahe,48.10990805865398,46.39712781023366
204.png,gamma,61.17093970905364,62.587506771778386
204.png,log,75.35870681868636,79.96482012003241
204.png,retinex,16.349079334558134,21.356580231393938
204.png,hist_eq,59.97727727793427,66.08723308516855
206.png,clahe,63.050631006347686,59.96394477386683
206.png,gamma,62.75757226797769,64.46240566269417
206.png,log,74.09535651471735,68.68503488297816
206.png,retinex,26.8264016695997,21.668604662412
206.png,hist_eq,61.3713647879693,71.68859040001128
207.png,clahe,39.199849436051004,34.12582509008317
207.png,gamma,39.199849436051004,34.12582509008317
207.png,log,69.61474526777641,62.63084270195897
207.png,retinex,14.01442885592208,21.947769180428708
207.png,hist_eq,54.22030024455378,42.95605574860609
209.png,clahe,65.07847570376502,60.26001205657313
209.png,gamma,57.49385519848199,58.24235348981778
209.png,log,89.24079422040785,69.48107476662126
209.png,retinex,19.8413031502941,15.121688869243068
209.png,hist_eq,60.36585961086695,67.64853284384472
21.png,clahe,63.360642479727005,63.32543357462302
21.png,gamma,62.75757226797769,64.46240566269417
21.png,log,78.4451727323296,78.47192928625984
21.png,retinex,13.738259902832995,19.713274757328854
21.png,hist_eq,62.12975479707728,74.73575450875063
210.png,clahe,39.199849436051004,34.12582509008317
210.png,gamma,39.199849436051004,34.12582509008317
210.png,log,67.40114456998603,62.11643700484015
210.png,retinex,39.116684077164095,34.04418229594914
210.png,hist_eq,54.22030024455378,42.95605574860609
211.png,clahe,39.199849436051004,34.12582509008317
211.png,gamma,39.199849436051004,34.12582509008317
211.png,log,19.8413031502941,15.121688869243068
211.png,retinex,18.57758684892815,18.530805839564213
211.png,hist_eq,21.400654713287068,35.780251654714306
212.png,clahe,39.199849436051004,34.12582509008317
212.png,gamma,39.199849436051004,34.12582509008317
212.png,log,69.68116210427836,57.925692345202414
212.png,retinex,19.8413031502941,15.121688869243068
212.png,hist_eq,54.22030024455378,42.95605574860609
213.png,clahe,39.199849436051004,34.12582509008317
213.png,gamma,54.53244718637637,55.87326734056804
