filename,method,musiq,maniqa,clipiqa
151.png,retinex,27.26078224182129,0.2559204399585724,0.48807191848754883
151.png,hist_eq,42.78990936279297,0.29921072721481323,0.5605747103691101
152.png,clahe,34.668701171875,0.26148051023483276,0.4526314437389374
152.png,gamma,34.76740646362305,0.26405027508735657,0.4657767415046692
152.png,log,38.89958190917969,0.30277979373931885,0.5876851081848145
152.png,retinex,29.83658790588379,0.2616409957408905,0.5163278579711914
152.png,hist_eq,42.9635009765625,0.2964240312576294,0.4111245572566986
154.png,clahe,28.75534439086914,0.25751519203186035,0.22952960431575775
154.png,gamma,29.390506744384766,0.25442269444465637,0.361110121011734
154.png,log,38.74085235595703,0.3371446132659912,0.2961883246898651
154.png,retinex,25.361421585083008,0.24697206914424896,0.4122622609138489
154.png,hist_eq,33.940696716308594,0.3122704029083252,0.22640962898731232
157.png,clahe,57.480323791503906,0.5508332252502441,0.6232372522354126
157.png,gamma,56.65188980102539,0.5513936281204224,0.69963139295578
157.png,log,62.10370635986328,0.6010186672210693,0.7106357216835022
157.png,retinex,39.571537017822266,0.41776812076568604,0.6652082800865173
157.png,hist_eq,53.475868225097656,0.5298789739608765,0.6768770813941956
159.png,clahe,25.495433807373047,0.17639267444610596,0.3612266480922699
159.png,gamma,25.397865295410156,0.19478562474250793,0.3921055793762207
159.png,log,35.29582214355469,0.27380800247192383,0.5033978819847107
159.png,retinex,22.01943016052246,0.16769780218601227,0.6118308901786804
159.png,hist_eq,25.945920944213867,0.18695306777954102,0.29718610644340515
16.png,clahe,27.521385192871094,0.23666603863239288,0.30852434039115906
16.png,gamma,28.03672981262207,0.27723240852355957,0.49298620223999023
16.png,log,33.21497344970703,0.337281733751297,0.4379807114601135
16.png,retinex,29.49588394165039,0.28192338347435,0.56849205493927
16.png,hist_eq,30.924110412597656,0.33592259883880615,0.39867642521858215
160.png,clahe,26.16668128967285,0.18043464422225952,0.31245455145835876
160.png,gamma,26.04717445373535,0.1904744952917099,0.4147631824016571
160.png,log,29.43804931640625,0.21750342845916748,0.4060978889465332
160.png,retinex,22.95931625366211,0.189463809132576,0.6045991778373718
160.png,hist_eq,28.269073486328125,0.21506687998771667,0.2952309548854828
162.png,clahe,33.39822769165039,0.24481619894504547,0.41455957293510437
162.png,gamma,31.24640655517578,0.24604086577892303,0.5616768002510071
162.png,log,32.57360076904297,0.2611032724380493,0.6302831172943115
162.png,retinex,27.918811798095703,0.2577160596847534,0.5494300723075867
162.png,hist_eq,32.039344787597656,0.2831383943557739,0.35636380314826965
167.png,clahe,51.298255920410156,0.4728858172893524,0.41327419877052307
167.png,gamma,50.62638854980469,0.4468783140182495,0.3252957761287689
167.png,log,52.26631546020508,0.5155733227729797,0.5536282658576965
167.png,retinex,41.702857971191406,0.37400326132774353,0.31746286153793335
167.png,hist_eq,47.88536071777344,0.4800613522529602,0.6059067249298096
169.png,clahe,39.66722869873047,0.31704387068748474,0.4586823582649231
169.png,gamma,42.4256706237793,0.35268089175224304,0.5718162655830383
169.png,log,44.02412796020508,0.39579322934150696,0.6543618440628052
169.png,retinex,48.96263885498047,0.2999153435230255,0.669721245765686
169.png,hist_eq,44.593109130859375,0.36566483974456787,0.4568217396736145
17.png,clahe,56.04225158691406,0.47503700852394104,0.44236069917678833
17.png,gamma,52.30628204345703,0.46421539783477783,0.6421880125999451
17.png,log,60.70592498779297,0.5393775105476379,0.6702954769134521
17.png,retinex,44.361717224121094,0.3921213746070862,0.522233784198761
17.png,hist_eq,53.82757568359375,0.46046602725982666,0.5302107930183411
171.png,clahe,34.24580383300781,0.2696951925754547,0.3859878480434418
171.png,gamma,38.468021392822266,0.2990727424621582,0.3889402151107788
171.png,log,40.5412712097168,0.3542826175689697,0.34518083930015564
