filename,method,clipiqa_plus
206.png,hist_eq,0.49630048871040344
207.png,clahe,0.39599040150642395
207.png,gamma,0.4647713303565979
207.png,log,0.5171253681182861
207.png,retinex,0.5399248600006104
207.png,hist_eq,0.5544572472572327
209.png,clahe,0.5311498045921326
209.png,gamma,0.5597532987594604
209.png,log,0.6037290096282959
209.png,retinex,0.5682106018066406
209.png,hist_eq,0.6332988142967224
21.png,clahe,0.506876528263092
21.png,gamma,0.5105823278427124
21.png,log,0.5573576092720032
21.png,retinex,0.4275766611099243
21.png,hist_eq,0.5120078325271606
210.png,clahe,0.39169174432754517
210.png,gamma,0.4058975875377655
210.png,log,0.5513283610343933
210.png,retinex,0.5195046663284302
210.png,hist_eq,0.5072207450866699
211.png,clahe,0.3046458065509796
211.png,gamma,0.3807688355445862
211.png,log,0.3893231749534607
211.png,retinex,0.3724365532398224
211.png,hist_eq,0.3056042194366455
212.png,clahe,0.3586627244949341
212.png,gamma,0.35109463334083557
212.png,log,0.42031702399253845
212.png,retinex,0.40836086869239807
212.png,hist_eq,0.4624254107475281
213.png,clahe,0.43892890214920044
213.png,gamma,0.5435478687286377
213.png,log,0.5823683142662048
213.png,retinex,0.61014723777771
213.png,hist_eq,0.64938884973526
215.png,clahe,0.5066993832588196
215.png,gamma,0.6030899882316589
215.png,log,0.6902828812599182
215.png,retinex,0.564872682094574
215.png,hist_eq,0.6581467390060425
216.png,clahe,0.5804830193519592
216.png,gamma,0.596684455871582
216.png,log,0.6007696986198425
216.png,retinex,0.44934001564979553
216.png,hist_eq,0.5961416363716125
219.png,clahe,0.46365150809288025
219.png,gamma,0.6200924515724182
219.png,log,0.5170491337776184
219.png,retinex,0.3979185223579407
219.png,hist_eq,0.5213409662246704
220.png,clahe,0.34014177322387695
220.png,gamma,0.471227765083313
220.png,log,0.4276319742202759
220.png,retinex,0.4605281949043274
220.png,hist_eq,0.40849563479423523
221.png,clahe,0.5381959080696106
221.png,gamma,0.6573874354362488
