filename,method,lpips,niqe,brisque,psnr_check,ssim_check,entropy_check
105.png,hist_eq,0.2749345004558563,8.683840962963167,28.68280029296875,17.827457587907908,0.5715982913970947,7.857975006103516
106.png,clahe,0.4345322251319885,8.545068875051614,13.98358154296875,6.405934263414229,0.24868619441986084,5.5307464599609375
106.png,gamma,0.3349228799343109,8.037448571956865,11.25823974609375,6.858333716534202,0.313719779253006,5.641115188598633
106.png,log,0.2958017885684967,8.600287354642553,16.99285888671875,8.058750408103059,0.42955222725868225,6.479801177978516
106.png,retinex,0.5161006450653076,9.298573314650456,7.47064208984375,9.178238072014306,0.6024610996246338,5.224607944488525
106.png,hist_eq,0.30491170287132263,9.503082571992104,29.04803466796875,16.309177531557772,0.5356411337852478,7.864919662475586
107.png,clahe,0.8287020325660706,14.617018978616954,34.44500732421875,5.535853450510025,0.08437597751617432,3.676532745361328
107.png,gamma,0.7592545747756958,10.931674608219415,19.56781005859375,5.6122905596000034,0.09054569154977798,4.565579414367676
107.png,log,0.7262069582939148,11.801674093878598,27.24041748046875,5.92447192819674,0.11113881319761276,5.239595413208008
107.png,retinex,0.8549668788909912,12.894365455674457,56.83514404296875,10.626148179372066,0.3669483959674835,6.216010093688965
107.png,hist_eq,0.7376047968864441,12.808351790260847,54.36883544921875,13.582436281502599,0.29346832633018494,6.6119537353515625
109.png,clahe,0.5528599619865417,10.135308478132652,-1.84918212890625,4.346748568360683,0.34834060072898865,5.940345764160156
109.png,gamma,0.3800447881221771,9.441868143763285,-12.51959228515625,5.229067289136325,0.46083423495292664,5.446328163146973
109.png,log,0.3988439738750458,10.072951240326919,-10.6168212890625,6.09617914061648,0.5186583399772644,6.084917068481445
109.png,retinex,0.3997223973274231,15.527530791911405,23.80413818359375,13.382605101887936,0.7957975268363953,4.497785568237305
109.png,hist_eq,0.5961238145828247,10.446278177878977,27.76458740234375,10.495870596441199,0.3339899480342865,7.803475379943848
110.png,clahe,0.379578560590744,10.031766896774695,-0.47283935546875,10.011711640154822,0.5629160404205322,5.932138442993164
110.png,gamma,0.20198698341846466,10.202855438668793,-12.82635498046875,11.813125695676325,0.6984493136405945,5.4541120529174805
110.png,log,0.194423109292984,10.15451724584462,-11.8641357421875,13.979730646936977,0.7477548718452454,6.084916114807129
110.png,retinex,0.6301206946372986,17.023815567376616,22.42181396484375,6.55648341775613,0.6550623774528503,4.496423244476318
110.png,hist_eq,0.5139092206954956,10.18895764749191,28.34661865234375,15.18772864596687,0.44988393783569336,7.783288955688477
112.png,clahe,0.2843007743358612,8.279784871094853,21.74359130859375,11.164483907315724,0.5197824835777283,5.9923624992370605
112.png,gamma,0.18407760560512543,6.605484487579133,16.8966064453125,12.319129387380707,0.6257088780403137,5.7735114097595215
112.png,log,0.13811859488487244,7.158131344247963,18.96038818359375,14.576234710183524,0.7251227498054504,6.511045932769775
112.png,retinex,0.5717698931694031,8.609855947891306,21.85284423828125,5.661910427456217,0.5391893982887268,4.832098484039307
112.png,hist_eq,0.3454625904560089,8.589960774964624,25.87371826171875,13.762486177121616,0.5093627572059631,7.888453483581543
113.png,clahe,0.7004417777061462,13.10246577738393,22.66302490234375,4.807110969638797,0.128712460398674,4.516711235046387
113.png,gamma,0.6293542981147766,9.984804793494595,18.70355224609375,4.989319980486816,0.15103833377361298,5.072977066040039
113.png,log,0.618017315864563,10.831280409005714,25.90740966796875,5.650337808281405,0.20701925456523895,6.005084991455078
113.png,retinex,0.6652781367301941,12.234879798058957,13.65496826171875,11.66511120501654,0.5686497092247009,5.716221332550049
113.png,hist_eq,0.6066510677337646,11.885798142888317,46.19256591796875,13.732996727109374,0.32045018672943115,7.374475479125977
114.png,clahe,0.6991353631019592,12.076391111833203,23.89251708984375,4.255883061770426,0.12613005936145782,4.558158874511719
114.png,gamma,0.6396198868751526,10.474708781288511,19.45599365234375,4.430208396487673,0.1490364670753479,5.174250602722168
114.png,log,0.6628607511520386,10.570661167314196,19.88006591796875,4.330561894443596,0.1298425942659378,5.278039455413818
