filename,method,brightness,contrast,entropy,colorfulness,sharpness,noise
122.png,clahe,0.05852469649969363,0.029269642023860922,4.496498107910156,0.019240180171286318,0.0015426985316067327,0.007771477376387484
122.png,gamma,0.07168393602558211,0.041460681886510434,5.247540473937988,0.046741692085133735,0.001674405598621966,0.007984329862267837
122.png,log,0.08332591337316177,0.06567153254446109,5.751288414001465,0.07805454656528792,0.0036052210309271662,0.011051873955488425
122.png,retinex,0.7684262144799326,0.15681748760304645,6.026479721069336,0.4255628837437469,0.19107599052933202,0.06172648447937907
122.png,hist_eq,0.4982793471392463,0.28231185384338425,7.178221702575684,0.2593317870945492,0.08349447644645078,0.05542836682987993
123.png,clahe,0.09806973326439951,0.05356554956144195,5.501194000244141,0.022455632585377215,0.0024150529959243005,0.007549965537407011
123.png,gamma,0.12602036420036763,0.06645807139213011,5.96468448638916,0.04360306888499649,0.0021199601465533248,0.006784641244939569
123.png,log,0.11844482421875,0.08192984246849434,6.147970199584961,0.05389299084545362,0.003013214404157283,0.007496206444993659
123.png,retinex,0.8231784596162683,0.12070884626312417,5.578774452209473,0.25135741378711346,0.08526437976998404,0.030363704220601563
123.png,hist_eq,0.5008859073414522,0.2859089505226663,7.8759636878967285,0.18152311610626434,0.03706750895255107,0.027987460917540948
124.png,clahe,0.09891836128982844,0.05399235844423974,5.539637565612793,0.024067731536095625,0.002406112873656063,0.007559361316430601
124.png,gamma,0.12775831035539215,0.06628751104950523,5.950675010681152,0.04970966251478949,0.002073578635493479,0.006726971476932616
124.png,log,0.11979459874770221,0.0818597945029535,6.156540870666504,0.059449262617212055,0.002975840585715195,0.007519467346576385
124.png,retinex,0.8261693617876839,0.10985631929356453,5.682616710662842,0.29966329900541544,0.0626987734184769,0.028116233878158845
124.png,hist_eq,0.5007153679342831,0.285578104264891,7.820010185241699,0.1852877818525452,0.03678735242264617,0.02785383770342708
125.png,clahe,0.1057806276807598,0.052025283714378714,5.3672637939453125,0.0159185701397056,0.0013068381083899338,0.007201966197571128
125.png,gamma,0.1400394215303309,0.05128676566082452,5.541979789733887,0.03156699148185012,0.0009589219969718423,0.005815098425694532
125.png,log,0.23791114956724876,0.11825818349711345,6.702372074127197,0.06638936806072257,0.00430326979178742,0.012575742343127905
125.png,retinex,0.9009264777688419,0.07047662511152483,5.032820701599121,0.16477610146141194,0.02098587553296489,0.010956875011360721
125.png,hist_eq,0.5188331155215993,0.28896862802592566,7.79608678817749,0.11725128982474699,0.036999390322520975,0.03509559629486298
126.png,clahe,0.10139064414828432,0.04892694972045323,5.241489410400391,0.018708951347479165,0.0012772104521029583,0.007194830484312672
126.png,gamma,0.13417699477251838,0.04805072240368307,5.4394636154174805,0.03971792749567671,0.0009103056248628327,0.005762786791130761
126.png,log,0.3508722641888787,0.17171753523574418,7.196318626403809,0.13484305659789456,0.009897245115062358,0.01940347720158918
126.png,retinex,0.9053762996897978,0.06956142624137526,5.048942565917969,0.2121508325940461,0.022996593482763016,0.013236900458420303
126.png,hist_eq,0.5195721794577206,0.2880264902116992,7.7305707931518555,0.13606112958053482,0.04118873775737222,0.0375987841907315
127.png,clahe,0.09789638145297182,0.02695599707414902,4.749195098876953,0.019329907312567653,0.0013524151618367936,0.007419237238992305
127.png,gamma,0.14103932100183825,0.03163727850039049,4.9468841552734375,0.042175458854927864,0.0008874154971860226,0.005914160409400003
127.png,log,0.1731478821997549,0.0532672570409425,5.734159469604492,0.07146851507717217,0.0025597302081662786,0.010062269878328154
127.png,retinex,0.9002949434168198,0.022509435784734577,4.221269130706787,0.03600855861141692,0.0010550080294771315,0.004545119223670867
127.png,hist_eq,0.531870942957261,0.28117014134455615,7.692422389984131,0.22751759726730175,0.07388323380147786,0.05261491507425405
128.png,clahe,0.09026584999234069,0.023980484440014365,4.5770392417907715,0.018727425448588846,0.0012891544805397807,0.007330536006210145
128.png,gamma,0.12995102826286764,0.028723699890032,4.811420440673828,0.046671233386996094,0.0009478647122607179,0.0062350643540516415
128.png,log,0.16174854951746323,0.04863888293730938,5.605851173400879,0.07615091116416686,0.0028218239939978196,0.010714895610507239
128.png,retinex,0.8889743580537683,0.032185053513901773,4.429504871368408,0.15086417994381418,0.0037203875049391546,0.008202946785549151
128.png,hist_eq,0.5351896398207721,0.2786210990455076,7.7209062576293945,0.2587550498012168,0.10141050908022396,0.0623297188866909
129.png,clahe,0.15037147671568626,0.04605700663579458,5.561539649963379,0.02773773059516947,0.002615854393763153,0.009368404294434718
129.png,gamma,0.20573527018229168,0.03569583964367703,5.073078155517578,0.044226742747411806,0.0007712919523553498,0.0049905553313811125
